(-;,1,1
(;_;),-1,2
(^^),1,1
(^-^),1,1
(^^*,1,1
(^_^),1,1
(^_^;,-1,4
(^o^),1,1
(-_-),-1,0
(T_T),-1,2
(ㅡㅡ),-1,0
)-:,-1,5
*^^*,1,1
/^o^\,1,1
:(,1,5
:'-(,1,2
:-(,1,5
:),1,1
:-),1,1
:/,-1,5
:|,1,1
:D,1,1
:-D,1,1
:p,0,0
:-P,-1,5
;,1,1
;),1,1
;-),1,1
;ㅅ;,-1,2
^///^,1,1
^^,1,1
^^//,1,1
^-^;,-1,3
^-^;;,-1,3
^-^;;;;;,-1,3
-_-^,-1,5
<3,1,1
=),1,1
8-),0,1
B-),0,1
XD,1,1
ㄱㅅ,1,1
ㄱㅇㄷ,1,1
가격이 싸다,1,1
가까스로,0,0
가까이 사귀어,1,1
가까이하다,1,1
가난,-2,0
가난뱅이,-2,2
가난살이,-2,2
가난에,-2,2
가난에 쪼들려서,-2,2
가난하게,-2,2
가난하고,-2,2
가난하고 어렵다,-2,2
가난하고 천한,-2,2
가난하다,-2,2
가난하여,-2,2
가난한,-2,2
가난한 데다가,-2,2
가난한 사람을,-2,0
가난히,-2,0
가누기 어려워하다,-1,2
가누지 못,-2,2
가눌 수 없,-2,2
가능성이 늘어나다,2,1
가능성이 있다고,2,1
가능성 있,2,1
가능성 없,-2,2
가능,1,1
가능하지,-1,2
가능하지 않,-2,2
가다듬어 수습,1,1
가다듬어 정하다,1,1
가당찮,-2,5
가두,-1,4
가드올려,-1,5
가뜬하게,1,1
가라앉혀 바로잡,1,1
가래,-1,0
가려서 좋아,-1,0
가려운,-1,0
가려워,-1,0
가련하게,-1,2
가련한,-1,2
가렵,-1,0
가로막아서,-1,3
가로채,-1,3
가르치며,1,1
가르침,1,1
가리지 못하,-1,2
가마득하다,-1,4
가만있지 못하,-1,5
가망 없,-1,2
가망이 없,-2,2
가벼운 마음으로,1,1
가벼운 말이나,-1,0
가벼운 상처,-1,2
가벼운 슬픔,-1,2
가벼운 행동으로,-1,5
가볍게,-1,0
가볍게 까부는,-1,5
가볍게 까불다,-1,5
가볍게 쑤시듯,-1,2
가볍게 웃다,1,1
가볍게 채신없이,-1,5
가볍게 행동하거나,-1,5
가볍게 행동하는,-1,5
가볍게 행동하다,-1,5
가볍고,1,0
가볍고 보드랍게,1,1
가볍고 상쾌하다,2,1
가볍고 상쾌한,2,1
가볍고 시원하게,2,1
가볍고 편안하게,2,1
가볍고 환하게,2,1
가분가분,1,1
가분히,1,1
가뿐가뿐,1,1
가뿐가뿐하다,1,1
가뿐가뿐히,1,1
가뿐하,1,1
가뿐한,1,1
가뿐히,1,1
가쁘게,-1,3
가쁘고,-1,3
가쁜,-1,3
가쁜 증상,-1,3
가소롭게,-1,5
가소롭다,-1,5
가슴 아파,-2,2
가슴 아프,-2,2
가슴앓이,-2,2
가슴이 갑갑할,-2,2
가슴이 괴롭거나,-2,2
가슴이 그득한,-2,2
가슴이 답답,-2,2
가슴이 울렁,-2,4
가슴이 찢어질,-2,2
가엽다,-1,2
가엾,-1,2
가운데에서 뛰어남,2,1
가위눌리다,-1,4
가음 아프고,-2,2
가장 거룩한,2,1
가장 뛰어나,2,1
가장 뛰어난,2,1
가장 올바르게,2,1
가장 좋은,2,1
가장 중요한,1,1
가증맞다,-1,5
가증스럽다,-1,5
가지런하게 하는,1,1
가지런하게 하다,1,1
가지런하다,1,1
가지런하지 아니하다,-1,5
가지런하지 아니한,-1,5
가짜,-2,5
가책이 되어,-1,2
가치,1,0
가치 없는,-2,4
가치 있,2,1
가치가 없,-2,2
가치를 믿다,2,1
가치를 인정하다,2,1
가치보다 비싼,-1,5
가치없는,-2,2
가치있는,1,1
가혹하게,-2,5
각별,1,1
각별하,1,1
간드러진,2,1
간사스럽게,-1,5
간사하,-1,5
간사한,-1,5
간사한 사람이나,-1,5
간사한 짓을,-2,5
간섭받,-1,5
간섭하,-1,5
간신히 짜내는,-1,2
간절하다,2,2
간지러워서,-1,1
간지럽,-1,1
간직하다,1,1
간직하지 아니하고,-1,0
간질간질,-1,1
간편하,2,1
갈라서다,-1,4
갈증이 나고,-1,4
갈증이 심하게,-1,4
갈팡질팡,-1,4
갈피를 잡을 수 없다,-1,4
갈피를 잡지 못하,-1,4
감각이 둔하고,-1,4
감각이 마비되고,-1,4
감각적이다,1,1
감감히,-1,2
감개무량하다,2,1
감격,2,1
감격성,2,1
감격스럽다,2,1
감격스레,2,1
감격이,2,1
감격적,2,1
감격하,2,1
감금하여,-2,4
감기,-1,2
감당하다,1,1
감동,2,1
감동도 없,-2,5
도 없,-2,5
감명되다,2,1
감명적,2,1
감명하다,2,1
감모,1,1
감미롭다,2,1
감복하다,2,1
감복하여,2,1
감사,2,1
감싸고,1,1
감싸고 달래다,0,0
감옥,-1,4
감정 사납,-1,5
감정을 건드,-1,5
감정이 거칠어져,-1,5
감정이 북받쳐,1,1
감칠맛이 있을,2,1
감탄,2,1
감탄스러울,2,1
감탄스럽,2,1
감탄적으로,2,1
감탄하,2,1
감탄할,2,1
감회가 새롭,2,1
감회가 새로,2,1
감회에 젖,2,1
갑갑궁금,-1,2
갑갑하고 궁금,-1,2
갑갑,-1,2
갑분띠,-1,3
갑분싸,-1,3
갑자기,-1,3
갑자기 게우,-1,3
갑자기 놀라,-1,3
갑자기 무섭거나,-1,4
갑자기 분별없이,-1,4
갑자기 서늘한,-1,4
갑자기 성을,-1,3
갑자기 소란스럽게,-1,3
갑자기 소름이,-1,3
갑자기 어지러워,-1,3
갑작스,-1,3
값을 매길 수 없을 만큼,2,1
값진,2,1
강간죄,-2,5
강개무량,-2,2
강등하여,-1,4
강렬하게,1,1
강박,-1,4
강세,1,1
강인하다,1,1
강인한,2,1
강제로,-1,4
강제로 누르,-1,4
강제로 누름,-2,4
강제로 빼앗,-1,4
강제로 요구,-1,4
강제적,-2,4
강추,2,1
강탈,-2,4
강퇴,-1,4
강하게,0,0
강하게 만,2,1
강하게 하다,1,1
강하고,1,1
강하고 야무지,2,1
강하고 튼튼,2,1
강한 비판이나,-2,5
강한 충격을,-1,3
강화하다,1,1
갖지 아니하,-1,0
갖추다,1,1
갖추지 못,-1,4
같잖,-1,5
같잖아서,-1,5
같잖아서 우스운,-1,5
갚지 않,-1,5
개선,2,1
개선하,1,1
개선해,-1,5
개성,1,1
개성있,1,1
개성있다,1,1
개성없,-2,5
개성이 없,-2,5
개운치 않,-1,2
개운하,2,1
개운하지,-1,2
개운하지 않,-2,2
개으름을,-1,5
개이득,2,1
개짓하다,-2,5
개회하다,0,0
갠소,1,1
갸륵한,1,1
갸름하다,1,1
거꾸러,-1,5
거꾸로 넘어지,-1,5
거두지 못한,-1,5
거들먹거리,-1,5
거들먹대다,-1,5
거듭 따뜻이,2,1
거듭 죄를,-1,5
거뜬,2,1
거래가 금지,-1,4
거룩한,2,1
거리끼,-1,5
거리낌 없,1,1
거만스럽,-2,5
거만을,-2,5
거만하,-2,5
거만하지 않,2,1
거만한,-1,5
거볍게,-1,5
거부감,-1,4
거부감 없이,2,1
거부하,-1,4
거부하지 않,2,0
거북스럽게,-2,4
거북하,-2,4
거북한,-2,4
거북할,-2,4
거세,-1,5
거슬려,-1,5
거슬리,-1,5
거슬리지,-1,0
거슬리지 않,1,0
거슬림이 없이,2,1
거역,-1,5
거의 없,-1,0
거절,-2,4
거짓,-2,0
거짓 없,1,1
거짓말,-2,0
거짓없,1,1
거짓으로,-1,5
거짓을 버리고,2,1
거짓이 없,2,1
거짓이나,-1,5
거추장스,-1,5
거치적거리는,-1,5
거치적거치적,-1,5
거친,-2,5
거친 말로,-2,5
거칠게,-2,3
거칠게 말,-2,5
거칠게 몰아쉬다,-2,5
거칠게 소리가,-2,0
거칠게 행동,-1,5
거칠,-2,0
거칠어져,-2,5
거침새가 없고,2,1
거침없이,1,1
거침이 없는,1,1
걱정,-1,4
걱정 없,2,1
걱정거리,-1,4
걱정으로,-1,4
걱정을,-1,0
걱정이 되,-1,4
걱정이 없,2,1
걱정없,2,1
걱정인 해를,-1,4
걱정하,-1,4
건강에 긍정,1,1
건강에 좋,2,1
건강에 해,-2,5
건강하,1,1
건강하지 못,-2,4
건강하지 않,-2,4
건강한,2,1
건달,-1,4
건드려 귀찮게,-1,5
건들거리,-1,5
건들건들,-1,5
건망증,-1,0
건방져,-2,5
건방지,-2,5
건방진,-1,5
건방짐,-2,5
건성으로,-1,5
건장하다,2,1
건장한,2,1
건장한 모양,2,1
건전하,1,1
건전하지 못,-2,5
건전하지 않,-2,5
건전한,2,1
건전함,2,1
걷지 못,-1,2
걸리거나,-1,0
걸리다,-1,5
걸리적대다,-1,5
걸핏하면,-1,5
검사에 불합격,-2,4
검소하,1,1
검소하지 않,-2,5
검소한,2,1
검은 티끌이라는,-1,0
검질기게,-1,5
겁나,-1,4
겁난,-1,4
겁내,-1,4
겁에,-1,4
겁에 지리다,-2,4
겁에 질,-2,4
겁을 내,-1,4
겁을 먹,-1,4
겁을 주,-1,4
겁이 나,-1,4
겁이 많,-2,4
겁쟁이,-2,4
것같이 아프다,-1,2
것보다 낫다,2,1
것을 샘하여,-1,5
것을 짓밟다,-1,5
것이 거북하거나,-1,5
것이 깨끗하고,2,1
것이 해결되어,2,1
겉만 그럴듯한,-1,5
겉면이 매끄럽고,1,1
겉모양의 아름다움과,1,1
겉치레,-1,5
게걸스럽게,-2,5
게우는,-1,0
게울,-1,1
게워,-1,0
게으르,-1,4
게으름,-1,4
게을러,-2,4
게을리하지 않고,2,1
겨를이 없음,-1,2
겨우 빠듯,-1,2
겨우겨우,-1,2
겨운,-1,0
격노,-2,5
격동시키,0,0
격려,1,1
격분,-2,5
격식에 맞아,1,1
격식을 갖추지 않,-1,4
격에 어울리지,-1,4
격하,-2,5
격한,-2,5
겪거나 불쌍한,-1,5
견고하다,1,1
견디기,-2,4
견디,1,1
견딜 수 없,-2,4
결기가,-1,5
결단성 없,-1,2
결단성이 없,-1,2
결단을 못 내,-1,2
결딴날,-2,0
결점,-1,4
결점이 없,2,1
결정을 못,-1,2
결정하지 못,-1,2
결핍,-2,4
결함,-1,4
결함이 없,2,1
결함이 있,-1,4
겸손하,1,1
겸손한,2,1
겸연쩍,-1,4
경건하,2,1
경건한,1,1
경련,-1,5
경망스러우며,-1,3
경망스러운,-1,3
경망스러운 여자를,-1,3
경망스럽,-1,3
경망하게,-1,3
경망한,-1,3
경멸,-2,5
경박스럽게,-1,3
경박하,-1,3
경박한,-1,3
경사스러운,2,1
경상,-2,3
경솔하,-1,3
경솔한,-1,3
경이로,2,1
경이롭,2,1
경치 좋은,2,1
경치가 뛰어나거나,2,1
경치가 맑고,2,1
경치가 아름답다,2,1
경치가 좋,2,1
경치를 즐기,2,1
경쾌하,2,1
경험이 많,1,1
경험이 적,-1,0
경황이 없,-1,4
고결,2,1
고귀,2,1
고급,2,1
고까워하는,-1,5
고난,-2,4
고단하,-2,2
고달프,-2,2
고도화,-2,0
고되,-2,2
고르고,2,1
고르다,2,1
고르지 못,-1,4
고르지 아니,-1,4
고르지 않,-1,4
고름,-1,2
고리게,-1,0
고마운,2,1
고마움,2,1
고마워,2,1
고맙게,2,1
고맙다,2,1
고백,2,1
고부라지,0,0
고분고분,1,1
고분고분하지 못,-2,3
고분고분하지 않,-2,3
고비를,-1,0
고상하,1,1
고상한,2,1
고생,-2,4
고소 공포증,-1,4
고약하,-2,5
고약함,-2,5
고약해,-2,5
고요하,1,1
고요함,1,1
고요해짐,1,0
고운,2,1
고자질,-1,5
고작,-1,5
고장나다,-1,2
고질병,-1,5
고집,-1,5
고쳐,1,1
고충,-2,4
고치기 어려운,-1,4
고치다,1,1
고타분히,-1,5
고통,-2,4
고통스,-2,2
고품질,2,1
고한,-2,4
고함,-1,5
고혈압,-1,2
곤궁,-2,4
곤란,-1,4
곤장으로 치던,-1,4
곤혹,-2,4
곧게,1,1
곧고,1,1
곧다,1,2
곧바르지,-1,2
곧잘 흥분,-1,5
곧장 나아가,1,1
곧지 못,-1,4
골골 앓아서,-2,2
골나,-2,5
골똘하게,0,0
골리는,-2,5
골이 나,-2,2
곪느라고,-1,2
곯려 주다,-1,2
곯리,-1,2
곯아,-1,2
곯은,-1,2
곰살갑지 못,-1,4
곰살궂지 못,-1,4
곰팡,-1,4
곱거나,2,1
곱게,2,1
곱고,2,1
곱다,2,1
곱살스,2,1
곱실대다,-1,5
곱절 용감하다,2,1
곱지 아니하다,-1,5
곱지 않,-1,5
곳에서 평안히,1,1
공갈,-1,5
공개적으로 비난,-2,5
공격,-2,5
공경,2,1
공공연히 불법적으로,-1,5
공교롭고,-1,4
공기가 상쾌,2,1
공덕,2,1
공로,1,1
공범자에,-1,5
공손하,1,1
공손하지 아니,-1,5
공손하지 않,-1,5
공손함,2,1
공손히,2,1
공연한,-1,4
공연히,-1,4
공익,2,1
공적의,0,0
공적이 많,2,1
공정,2,1
공평,1,1
공평하지 않,-2,5
공포,-2,4
공허,-1,4
공황,-1,4
과거에 급제,2,1
과거급제,2,1
과격,-1,5
과금,-1,5
과대망상,-1,4
과도하,-1,3
과로,-1,0
과식,-1,0
과음,-2,0
과장,-1,5
과장하지 않,1,1
과장 안하,1,1
과체중,-2,5
과하다,-1,5
관계가 끊어지,-1,4
관계가 맺어지,1,1
관계를 끊,-1,2
관계를 맺,1,1
관계 끊,-1,2
관계없,-1,2
관광할 만한,1,1
관능적,1,1
관람객이 줄어,-1,2
관심병,-1,5
관심을 가지지 아니하고,-1,2
관심을 가짐,1,1
관심을 기울이,1,1
관심이 있,1,1
관심이나,1,1
관절이 저리고,-1,2
관철하려고 다투는,-1,5
괄시,-2,4
광견병,-1,4
광명,2,1
광탈,-1,4
괘씸,-1,5
괜찮,1,1
괜찮지 않,-2,2
괜한 트집,-1,5
괜히 트집,-1,5
괴로운,-2,4
괴로울,-2,2
괴로움,-1,2
괴로움을 없,2,1
괴로워,-1,2
괴롭거나,-1,2
괴롭게,-1,2
괴롭고,-1,2
괴롭다,-1,2
괴롭지 아니하여,2,1
괴롭히,-2,5
괴멸,-2,5
괴물,-1,4
괴사,-2,2
괴상,-2,4
괴이,-1,4
굉장하,2,1
교도소에 수감,-1,2
교리에 밝고,2,1
교만하,-1,5
교만함,-1,5
교만하지 않,1,1
교묘하,1,1
교묘히,-1,5
교양이 없,-1,5
교양이 있,1,1
교양 있,1,1
교육적,1,1
교제를 끊어,-1,5
교통을 허락,1,1
교통이 허락,1,1
교화,1,1
교활,-1,5
교훈,1,1
구경하며 즐기,1,1
구김살 없,1,1
구김살이 없,1,1
구두쇠,-1,5
구리게,-1,5
구박,-1,5
구성지,1,1
구속하,-1,4
구속함,-1,4
구슬퍼,-1,2
구슬프,-1,2
구슬피,-1,2
구역날,-2,4
구역이 나,-2,4
구역질,-2,4
구역질나,-2,4
구원,1,1
구제,1,1
구차스,-2,5
구차하,-1,5
구차하지 않,2,1
구토,-1,4
군살이 처지,-1,2
군색함,-1,2
군소리 없,1,1
군소리를,-1,5
굳게 맹세,1,1
굳게 믿,1,1
굳세,2,1
굳센,2,1
굳어,-1,0
굳은,0,0
굳지 못,-1,2
굴복시,-1,2
굴복하지 않,1,1
굴욕,-2,2
굶는,-1,2
굶다,-1,2
굶주,-1,2
굼드게,-1,2
굼뜨게,-1,2
굼뜨고,-1,2
굼뜨다,-1,2
굽신,-2,4
굽실,-2,4
굽혀서 산다,-2,4
굽히지 아니하,1,1
굽히지 않,1,0
궁상스,-2,2
궁색하,-2,2
궁핍,-2,2
궁하,-2,2
궂,-1,5
권리를 없애,-1,5
권리를 침해,-1,5
권세를 꺾,0,0
권세를 마음대로,-1,5
권태,-1,2
귀머거리,-1,2
귀먹,-1,2
귀양,-2,4
귀여운,2,1
귀여워,2,1
귀염성,2,1
귀염을,1,1
귀여워,1,1
귀엽다,1,1
귀엽,2,1
귀요미,2,1
귀중,2,1
귀차니즘,-1,2
귀찮,-1,2
귀하게,2,1
귀하고,2,1
귀하다,2,1
귀하며,2,1
귀한,2,1
규범을 어기,-1,5
규칙을 어,-1,5
균의 침입,-1,5
균형을 잃,-1,5
그러하다,0,0
그럴듯하게 대,-1,0
그럴듯하,1,1
그럴싸하,1,1
그렇게 되,1,1
그르치다,-1,4
그른,-2,4
그릇되,-2,4
그릇되게,-2,4
그릇된,-2,4
그리운,1,1
그리움,1,1
그리워,1,1
그린라이트,2,1
그립다,1,1
그만두게,-1,2
그만두,-1,2
그윽,1,1
극락,1,1
극복하,1,1
극성맞,-1,5
극진하,2,1
극혐,-2,5
근거가 없,-1,2
근본에 맞,1,1
근사,2,1
근심,-1,4
근심 없이,2,1
근지럽,-1,5
근질근질 ,-1,5
근하다,2,1
긁어,0,0
금사빠,-1,4
금지,-2,4
급작스럽,-2,5
급하게,-1,5
급하고,-1,5
급하다,-1,5
급한,-1,5
긍가하,2,1
긍정,2,1
긍지,2,1
기가 눌,-1,2
기가 막,-1,5
기능을 상실,-1,2
기능을 잃,-1,2
기능이 약,-1,2
기능이 허약,-1,2
기다리지 못,-1,2
기대,1,1
기대 이상,2,1
기대가,1,1
기대되,2,1
기대된다,1,1
기대를 받,1,1
기대에 어그러,-1,5
기대하,1,1
기대할 만,2,1
기량이 부족,-1,4
기력이 쇠약,-1,2
기력이 약하,-1,2
기력이 허약,-1,2
기를 꺾,-1,4
기름기가 많,-1,4
기름진 땅,1,1
기리,1,1
기막히,-1,5
기만하,-2,5
기모띠,1,1
기반이 튼튼,1,1
기부,1,1
기분 나쁠,-2,5
기분 나쁜,-2,5
기분 좋,2,1
기분을 나쁘,-2,5
기분이 상하,-2,5
기뻐,2,1
기쁘,2,1
기쁜,2,1
기쁨,2,1
기상이 뛰어,2,1
기세 좋,2,1
기세가 꺾이,-1,4
기세가 약해지,-1,4
기억이 희미해,-1,4
기운 없,-2,2
기운을 잃,-1,2
기운이 꺾,-1,2
기운이 다하,-2,2
기운이 막,-1,2
기운이 못 펴,-1,2
기운이 빠,-2,2
기운이 쇠약,-2,2
기운이 없,-2,2
기운차,2,1
기울어지,-1,4
기절,-2,2
기죽,-2,2
기준보다 못,-1,2
기준에 미치지 못,-1,2
기준에 어긋,-2,5
기침,-1,2
기특,2,1
기품이 있다,2,1
기풍,1,1
기피,-1,4
기한 못,-1,4
기형,-1,4
기회를 놓치,-1,4
기회주의적,-1,4
긴장,-1,4
길막,-1,5
길미,1,1
길을 찾아내다,1,1
길이 막막,-2,2
길이 어둡,-1,2
ㄲ,-1,5
ㄲㅂ,-1,5
ㄲㅈ,-1,5
까다로,-1,5
까다롭,-1,5
까다롭지 않,2,1
까마득,-2,4
까무러,-2,4
까부는,-1,5
까불,-1,5
까비,-1,5
까칠,-1,5
까탈이 많,-1,5
깍아내리다,-1,5
깎아내,-1,5
깐깐하,-1,5
깐깐하지 않,1,0
깐죽,-1,5
깔깔하,-1,5
깔깔한,-1,5
깔끄럽,-1,5
깔끔하,1,1
깔끔하지 못,-2,5
깔끔하지 않,-2,5
깔끔한,2,1
깔끔해,2,1
깔보,-1,4
깔봄,-1,4
깜놀,-1,3
깜짝 놀,-1,3
깜찍하,1,1
깝치,-1,5
깨갱,-1,4
깨끗이,1,1
깨끗하,1,1
깨끗하지 않,-2,2
깨끗하지 못,-1,5
깨끗한,2,1
깨닫,1,1
깨닫지 못,-1,2
깨달아,1,1
깨달은,1,1
깨달음,1,1
깨뜨,-1,5
깨알,1,1
깨어지,-1,5
깨우쳐,1,1
깨지,-1,5
깨진,-1,5
깨침이 늦,-1,5
깽깽,-1,4
꺼꾸러,-1,5
꺼덕,-1,5
꺼려지,-2,4
꺼리,-2,4
꺼린,-2,4
꺼림,-2,4
꺼먹대,-1,5
꺼부는,-1,5
꺼부러져,-1,5
꺼칠,-1,5
꺽어 약해,-1,5
꺾어 누르다,-1,5
꺾이,-1,2
꺾임,-1,2
껄끄,-1,5
껄렁,-1,5
꼬락서니,-1,5
꼬물,1,0
꼬였,-1,5
꼬이,-2,5
꼬집,-1,5
꼭 맞,1,1
꼭 알맞,1,1
꼭 어울리,2,1
꼴사나,-2,5
꼴사납,-2,5
꼼꼼,1,1
꼼꼼하지 않,-2,5
꼿꼿,1,1
꽁알대다,-1,5
꽁하다,-1,5
꽃이 보드랍고,2,1
꽉 막힌,-2,5
꽥꽥,-1,5
꾀거,-1,5
꾀를 부,-1,5
꾀만 부,-1,5
꾸물,-1,2
꾸민,1,1
꾸밈이 없,1,1
꾸밈 없,1,1
꾸준,1,1
꾸중,-1,5
꾸지람,-1,5
꾸짖,-1,5
꿀잼,1,1
꿉신대,-2,5
꿋꿋,1,1
끈기 없,-1,2
끈기,1,1
끊고,-1,4
끊어,-1,4
끌다,1,1
끌리,1,1
끔직,-2,4
끔찍,-2,4
끝까지 변함없,1,1
끝내지 못,-1,2
끝장,-2,4
끼깅대,-1,5
낄끼빠빠,-1,5
낑낑,-1,4
ㄳ,1,1
ㄴㅇㅈ,-1,5
나가자빠지,-2,2
나긋,1,1
나라가 태평,2,1
나릿,-1,2
나무라,-1,5
나무람,-1,5
나불거리,-1,5
나불나불,-1,5
나빠지,-2,5
나빠진,-2,5
나쁘,-1,5
나쁘지 않,2,1
나쁜,-2,5
나쁠,-2,5
나아가,1,1
나아가지 못,-2,4
나아지,1,1
나태,-1,2
낙담,-2,2
낙망,-2,2
낙심,-2,2
난리,1,1
난잡,-2,5
난처하,-2,5
난폭,-2,5
날뛰,1,1
날뜀,1,1
날씬,1,1
날이 좋,2,1
날조하,-1,4
날카,-1,5
낡고,-1,4
낡다,-1,4
낡아,-1,4
낡은,-1,4
남달리,1,1
남루하,-1,4
남몰래,-1,0
남보다 높,1,1
남보다 뒤떨,-1,4
남보다 뛰어,2,1
남보다 앞서,1,1
남보다 월등,2,1
남부끄,-1,2
남부럽,-1,2
남사스,-1,2
남용,-1,4
납치,-2,4
낫게,1,1
낫다,1,1
낫지 아니,-1,2
낫지 않,-1,2
낭만,1,1
낭비,-1,2
낭패,-2,2
낮아지,-1,2
낮은 성적,-1,2
낮은 지위,-1,2
낮은 지혜,-1,2
낮이 없,-1,2
낮잡,-2,5
낮추,-2,5
낮추어 보,-2,5
낮추어 이르,-2,5
낯부끄,-1,2
낯설,-1,4
낯이 설,-1,5
낯이 없,-1,5
낳지 못하는,-1,5
